qemu-hw-display-virtio-vga-rutabaga 10.2.2-4
qemu-hw-s390x-virtio-gpu-ccw 10.2.2-4
qemu-hw-uefi-vars 10.2.2-4
qemu-hw-usb-host 10.2.2-4
qemu-hw-usb-redirect 10.2.2-4
qemu-hw-usb-smartcard 10.2.2-4
qemu-img 10.2.2-4
qemu-pr-helper 10.2.2-4
qemu-system-aarch64 10.2.2-4
qemu-system-alpha 10.2.2-4
qemu-system-alpha-firmware 10.2.2-4
qemu-system-arm 10.2.2-4
qemu-system-arm-firmware 10.2.2-4
qemu-system-avr 10.2.2-4
qemu-system-hppa 10.2.2-4
qemu-system-hppa-firmware 10.2.2-4
qemu-system-loongarch64 10.2.2-4
qemu-system-m68k 10.2.2-4
qemu-system-microblaze 10.2.2-4
qemu-system-microblaze-firmware 10.2.2-4
qemu-system-mips 10.2.2-4
qemu-system-or1k 10.2.2-4
